,NAME,NONOIL,INTERMEDIATE,OECD,GDP60,GDP85,GDPGRO,POPGRO,IOVERY,SCHOOL,LIT60,LON,LAT
1,Algeria,1,1,0,2485,4371,4.8,2.6,24.1,4.5,10,1.659626,28.033886
2,Angola,1,0,0,1588,1171,0.8,2.1,5.8,1.8,5,17.873887,-11.202692
3,Benin,1,0,0,1116,1071,2.2,2.4,10.8,1.8,5,2.315834,9.30769
4,Botswana,1,1,0,959,3671,8.6,3.2,28.3,2.9,NA,24.684866,-22.328474
5,Burkina,1,0,0,529,857,2.9,0.9,12.7,0.4,2,-1.561593,12.238333
6,Burundi,1,0,0,755,663,1.2,1.7,5.1,0.4,14,29.918886,-3.373056
7,Cameroon,1,1,0,889,2190,5.7,2.1,12.8,3.4,19,12.354722,7.369722
8,Central African Republic,1,0,0,838,789,1.5,1.7,10.5,1.4,7,20.939444,6.611111
9,Chad,1,0,0,908,462,-0.9,1.9,6.9,0.4,6,18.732207,15.454166
10,Congo,1,0,0,1009,2624,6.2,2.4,28.8,3.8,16,15.827659,-0.228021
11,Egypt,1,0,0,907,2160,6,2.5,16.3,7,26,30.802498,26.820553
12,Ethiopia,1,1,0,533,608,2.8,2.3,5.4,1.1,15,40.489673,9.145
13,Gabon,0,0,0,1307,5350,7,1.4,22.1,2.6,NA,11.609444,-0.803689
14,Gambia,0,0,0,799,NA,3.6,NA,18.1,1.5,NA,-15.310139,13.443182
15,Ghana,1,0,0,1009,727,1,2.3,9.1,4.7,27,-1.023194,7.946527
16,Guinea,0,0,0,746,869,2.2,1.6,10.9,NA,7,-9.696645,9.945587
17,IvoryCoa,1,1,0,1386,1704,5.1,4.3,12.4,2.3,5,-5.54708,7.539989
18,Kenya,1,1,0,944,1329,4.8,3.4,17.4,2.4,20,37.906193,-0.023559
19,Lesotho,0,0,0,431,1483,6.8,1.9,12.6,2,NA,28.233608,-29.609988
20,Liberia,1,0,0,863,944,3.3,3,21.5,2.5,9,-9.429499,6.428055
21,Madagascar,1,1,0,1194,975,1.4,2.2,7.1,2.6,50,46.869107,-18.766947
22,Malawi,1,1,0,455,823,4.8,2.4,13.2,0.6,25,34.301525,-13.254308
23,Mali,1,1,0,737,710,2.1,2.2,7.3,1,3,-3.996166,17.570692
24,Mauritania,1,0,0,777,1038,3.3,2.2,25.6,1,5,-10.940835,21.00789
25,Mauritiu,1,0,0,1973,2967,4.2,2.6,17.1,7.3,NA,14.238342,49.9148271
26,Morocco,1,1,0,1030,2348,5.8,2.5,8.3,3.6,14,-7.09262,31.791702
27,Mozambiq,1,0,0,1420,1035,1.4,2.7,6.1,0.7,11,35.529562,-18.665695
28,Niger,1,0,0,539,841,4.4,2.6,10.3,0.5,1,8.081666,17.607789
29,Nigeria,1,1,0,1055,1186,2.8,2.4,12,2.3,15,8.675277,9.081999
30,Rwanda,1,0,0,460,696,4.5,2.8,7.9,0.4,16,29.873888,-1.940278
31,Senegal,1,1,0,1392,1450,2.5,2.3,9.6,1.7,6,-14.452362,14.497401
32,Sierra Leone,1,0,0,511,805,3.4,1.6,10.9,1.7,7,-11.779889,8.460555
33,Somalia,1,0,0,901,657,1.8,3.1,13.8,1.1,2,46.199616,5.152149
34,South Africa,1,1,0,4768,7064,3.9,2.3,21.6,3,57,22.937506,-30.559482
35,Sudan,1,0,0,1254,1038,1.8,2.6,13.2,2,13,30.217636,12.862807
36,Swaziland,0,0,0,817,NA,7.2,NA,17.7,3.7,NA,31.465866,-26.522503
37,Tanzania,1,1,0,383,710,5.3,2.9,18,0.5,10,34.888822,-6.369028
38,Togo,1,0,0,777,978,3.4,2.5,15.5,2.9,10,0.824782,8.619543
39,Tunisia,1,1,0,1623,3661,5.6,2.4,13.8,4.3,16,9.537499,33.886917
40,Uganda,1,0,0,601,667,3.5,3.1,4.1,1.1,35,32.290275,1.373333
41,Zaire,1,0,0,594,412,0.9,2.4,6.5,3.6,31,21.758664,-4.038333
42,Zambia,1,1,0,1410,1217,2.1,2.7,31.7,2.4,29,27.849332,-13.133897
43,Zimbabwe,1,1,0,1187,2107,5.1,2.8,21.1,4.4,39,29.154857,-19.015438
44,Afghanis,0,0,0,1224,NA,1.6,NA,6.9,0.9,8,10.1779966,36.8126315
45,Bahrain,0,0,0,NA,NA,NA,NA,30,12.1,NA,50.5577,26.0667
46,Banglade,1,1,0,846,1221,4,2.6,6.8,3.2,22,88.5964576,23.6467864
47,Burma,1,1,0,517,1031,4.5,1.7,11.4,3.5,60,95.955974,21.916221
48,HongKong,1,1,0,3085,13372,8.9,3,19.9,7.2,70,114.109497,22.396428
49,India,1,1,0,978,1339,3.6,2.4,16.8,5.1,28,78.96288,20.593684
50,Iran,0,0,0,3606,7400,6.3,3.4,18.4,6.5,16,53.688046,32.427908
51,Iraq,0,0,0,4916,5626,3.8,3.2,16.2,7.4,18,43.679291,33.223191
52,Israel,1,1,0,4802,10450,5.9,2.8,28.5,9.5,84,34.851612,31.046051
53,Japan,1,1,1,3493,13893,6.8,1.2,36,10.9,98,138.252924,36.204824
54,Jordan,1,1,0,2183,4312,5.4,2.7,17.6,10.8,32,36.238414,30.585164
55,SKorea,1,1,0,1285,4775,7.9,2.7,22.3,10.2,71,127.766922,35.907757
56,Kuwait,0,0,0,77881,25635,2.4,6.8,9.5,9.6,47,47.481766,29.31166
57,Malaysia,1,1,0,2154,5788,7.1,3.2,23.2,7.3,53,101.975766,4.210484
58,Nepal,1,0,0,833,974,2.6,2,5.9,2.3,9,84.124008,28.394857
59,Oman,0,0,0,NA,15584,NA,3.3,15.6,2.7,NA,55.923255,21.512583
60,Pakistan,1,1,0,1077,2175,5.8,3,12.2,3,15,69.345116,30.375321
61,Philippines,1,1,0,1668,2430,4.5,3,14.9,10.6,72,121.774017,12.879721
62,SaudiAra,0,0,0,6731,11057,6.1,4.1,12.8,3.1,3,27.2577462,31.3577298
63,Singapor,1,1,0,2793,14678,9.2,2.6,32.2,9,83,103.819836,1.352083
64,SriLanka,1,1,0,1794,2482,3.7,2.4,14.8,8.3,75,80.771797,7.873054
65,Syria,1,1,0,2382,6042,6.7,3,15.9,8.8,30,38.996815,34.802075
66,Taiwan,0,0,0,NA,NA,8,NA,20.7,NA,NA,120.960515,23.69781
67,Thailand,1,1,0,1308,3220,6.7,3.1,18,4.4,68,100.992541,15.870032
68,United Arab Republic,0,0,0,NA,18513,NA,NA,26.5,NA,NA,30.802498,26.820553
69,Yemen,0,0,0,NA,1918,NA,2.5,17.2,0.6,3,48.516388,15.552727
70,Austria,1,1,1,5939,13327,3.6,0.4,23.4,8,99,14.550072,47.516231
71,Belgium,1,1,1,6789,14290,3.5,0.5,23.4,9.3,99,4.469936,50.503887
72,Cyprus,0,0,0,2948,NA,5.2,NA,31.2,8.2,NA,33.429859,35.126413
73,Denmark,1,1,1,8551,16491,3.2,0.6,26.6,10.7,99,9.501785,56.26392
74,Finland,1,1,1,6527,13779,3.7,0.7,36.9,11.5,99,25.748151,61.92411
75,France,1,1,1,7215,15027,3.9,1,26.2,8.9,99,2.213749,46.227638
76,West Germany Bonn,1,1,1,7695,15297,3.3,0.5,28.5,8.4,99,7.0982068,50.73743
77,Greece,1,1,1,2257,6868,5.1,0.7,29.3,7.9,81,21.824312,39.074208
78,Iceland,0,0,0,8091,NA,3.9,NA,29,10.2,NA,-19.020835,64.963051
79,Ireland,1,1,1,4411,8675,3.8,1.1,25.9,11.4,98,-8.24389,53.41291
80,Italy,1,1,1,4913,11082,3.8,0.6,24.9,7.1,91,12.56738,41.87194
81,Luxembou,0,0,0,9015,NA,2.8,NA,26.9,5,NA,6.129583,49.815273
82,Malta,0,0,0,2293,NA,6,NA,30.9,7.1,NA,14.375416,35.937496
83,Netherlands,1,1,1,7689,13177,3.6,1.4,25.8,10.7,99,5.291266,52.132633
84,Norway,1,1,1,7938,19723,4.3,0.7,29.1,10,99,8.468946,60.472024
85,Portugal,1,1,1,2272,5827,4.4,0.6,22.5,5.8,62,-8.224454,39.399872
86,Spain,1,1,1,3766,9903,4.9,1,17.7,8,87,-3.74922,40.463667
87,Sweden,1,1,1,7802,15237,3.1,0.4,24.5,7.9,99,18.643501,60.128161
88,Switzerland,1,1,1,10308,15881,2.5,0.8,29.7,4.8,99,8.227512,46.818188
89,Turkey,1,1,1,2274,4444,5.2,2.5,20.2,5.5,38,35.243322,38.963745
90,UK,1,1,1,7634,13331,2.5,0.3,18.4,8.9,99,-3.435973,55.378051
91,Barbados,0,0,0,3165,NA,4.8,NA,19.5,12.1,NA,-59.543198,13.193887
92,Canada,1,1,1,10286,17935,4.2,2,23.3,10.6,99,-106.346771,56.130366
93,CostaRic,1,1,0,3360,4492,4.7,3.5,14.7,7,90,-83.753428,9.748917
94,Dominica,1,1,0,1939,3308,5.1,2.9,17.1,5.8,65,-61.370976,15.414999
95,ElSalvad,1,1,0,2042,1997,3.3,3.3,8,3.9,49,-88.89653,13.794185
96,Guatemal,1,1,0,2481,3034,3.9,3.1,8.8,2.4,32,-90.230759,15.783471
97,Haiti,1,1,0,1096,1237,1.8,1.3,7.1,1.9,15,-72.285215,18.971187
98,Honduras,1,1,0,1430,1822,4,3.1,13.8,3.7,45,-86.241905,15.199999
99,Jamaica,1,1,0,2726,3080,2.1,1.6,20.6,11.2,82,-77.297508,18.109581
100,Mexico,1,1,0,4229,7380,5.5,3.3,19.5,6.6,65,-102.552784,23.634501
101,Nicaragu,1,1,0,3195,3978,4.1,3.3,14.5,5.8,90,-85.207229,12.865416
102,Panama,1,1,0,2423,5021,5.9,3,26.1,11.6,73,-80.782127,8.537981
103,Trinidad,1,1,0,9253,11285,2.7,1.9,20.4,8.8,93,-61.222503,10.691803
104,USA,1,1,1,12362,18988,3.2,1.5,21.1,11.9,98,-95.712891,37.09024
105,Argentin,1,1,0,4852,5533,2.1,1.5,25.3,5,91,-63.616672,-38.416097
106,Bolivia,1,1,0,1618,2055,3.3,2.4,13.3,4.9,39,-63.588653,-16.290154
107,Brazil,1,1,0,1842,5563,7.3,2.9,23.2,4.7,61,-51.92528,-14.235004
108,Chile,1,1,0,5189,5533,2.6,2.3,29.7,7.7,84,-71.542969,-35.675147
109,Colombia,1,1,0,2672,4405,5,3,18,6.1,63,-74.297333,4.570868
110,Ecuador,1,1,0,2198,4504,5.7,2.8,24.4,7.2,68,-78.183406,-1.831239
111,Guyana,0,0,0,2761,NA,1.1,NA,32.4,11.7,NA,-58.93018,4.860416
112,Paraguay,1,1,0,1951,3914,5.5,2.7,11.7,4.4,75,-58.443832,-23.442503
113,Peru,1,1,0,3310,3775,3.5,2.9,12,8,61,-75.015152,-9.189967
114,Surinam,0,0,0,3226,NA,4.5,NA,19.4,8.1,NA,-56.027783,3.919305
115,Uruguay,1,1,0,5119,5495,0.9,0.6,11.8,7,94,-55.765835,-32.522779
116,Venezuel,1,1,0,10367,6336,1.9,3.8,11.4,7,63,-66.58973,6.42375
